SONGNAME,DIFF,Notion_Page_ID
Scripted Connection⇒ A mix,LEGGENDARIA,3a261b60-123e-8128-94bb-c6b5ccdf1527
かわいいだけじゃだめですか？,LEGGENDARIA,3a261b60-123e-8147-a32d-fd28c38e3564
Plazma,LEGGENDARIA,3a261b60-123e-8103-8af2-c244cc3a663f
INHERITANCE,LEGGENDARIA,3a261b60-123e-81e9-91c3-e6fc13e47b42
フォニイ,LEGGENDARIA,3a261b60-123e-81ed-817c-dea9037eb205
寝起きヤシの木,LEGGENDARIA,3a261b60-123e-818b-b4b9-d0a256f85f57
Submerge Serenade,LEGGENDARIA,3a261b60-123e-8159-97e2-d8f55cb70d65
Caldwell 99,LEGGENDARIA,3a261b60-123e-818d-8000-c3dc926319a5
KING,LEGGENDARIA,3a261b60-123e-8197-85a9-c40de68546fe
神っぽいな,LEGGENDARIA,3a261b60-123e-8176-8412-f828c4323bf1
ちょえちょえまぎか,LEGGENDARIA,3a261b60-123e-8126-8e3b-cf7c789605c9
≡＋≡,LEGGENDARIA,3a261b60-123e-81fb-abc0-dbd8edbd265d
CUE CUE RESCUE,LEGGENDARIA,3a261b60-123e-81bc-916e-c8a610077082
グッバイ宣言,LEGGENDARIA,3a261b60-123e-816e-a3ce-d8a99f251d9e
ミュージック・アワー,LEGGENDARIA,3a261b60-123e-8183-8e02-e0a07807c0f9
ハイテックトキオ,LEGGENDARIA,3a261b60-123e-810e-a4ab-cd0d3c06c179
SOLID WYVERN,LEGGENDARIA,3a261b60-123e-8148-b8f4-e848acd84e1c
Burning Flame,LEGGENDARIA,3a261b60-123e-81c7-8a69-f486626e6ddb
新宝島,LEGGENDARIA,3a261b60-123e-8175-880a-eea9b80bbaea
POLꓘAMAИIA,LEGGENDARIA,3a261b60-123e-8132-a352-c5ff044fac14
Ypsilon,LEGGENDARIA,3a261b60-123e-8141-8c91-e0bf2c74cdb3
If,LEGGENDARIA,3a261b60-123e-81c8-8329-f6e4117128e6
Lost Souls,LEGGENDARIA,3a261b60-123e-810a-aa7f-d6c1e57306b3
